A A Mamun : professor, nuclear physicist, biochemist
John Benson (architect) : civil engineer, architect, diarist
John Bentley Stringer : autobiographer, short story writer, biographer
John Beradino : actres, producer, short story writer
John Berg (actor) : actres, producer, soap opera actor
John Berger (author) : social sciences writer, ecologist, autobiographer
John Bernard (actor) : diarist, autobiographer, memoirist
John Bernard (bishop) : autobiographer, memoirist, theologian
John Berry (film director) : autobiographer, short story writer, producer
John Berry Haycraft : physiologist, medical doctor, evolutionary biologist
John Bidwell : union army general, autobiographer, architect
John Biggins : musical theatre actor, radio actor, comedian
John Bigland : autobiographer, biographer, novelist
John Bindon : autobiographer, fictional scientist, actres
John Birkett (surgeon) : autobiographer, medical doctor, surgeon
John Blackall : medical doctor, physician, pseudoscientist
John Bliss : producer, autobiographer, fictional scientist
John Blyth Barrymore : musical theatre actor, actres, novelist
John Bolaris : meteorologist, executive office, autobiographer
John Bolger : novelist, short story writer, autobiographer
John Bollinger : executive office, social sciences writer, economics writer
John Bolton (actor) : musical theatre actor, musical theatre actress, producer
John Bond (classicist) : theologian, antiquarian, scholar
John Boswell : autobiographer, essayist, memoirist
John Botvid : silent film actor, silent film actress, autobiographer
John Bowen (antiquary) : antiquarian, cartographer, autobiographer
John Bowers (actor) : autobiographer, memoirist, actres
John Bowers (writer) : short story writer, novelist, autobiographer
John Bowes Morrell : philanthropist, autobiographer, novelist
John Bowlby : psychologist, psychoanalyst, autobiographer
John Bowring : autobiographer, memoirist, diarist
John Boyd (actor) : fictional scientist, video game actor, actres
John Boylan (American actor) : short story writer, autobiographer, novelist
John Boylan (Canadian actor) : short story writer, autobiographer, video game actor
John Bradley (actor) : musical theatre actor, fictional scientist, actres
John Bradley-West : musical theatre actor, video game actor, soap opera actor
John Braithwaite Wallis : botanists active, naturalist, oceanographer
John Brandon (actor) : fictional scientist, producer, actres
John Brashear : short story writer, autobiographer, army officer
John Brent : autobiographer, biographer, memoirist
John Brett : biographer, autobiographer, artist
John Brignon : theologian, hebraist, short story writer
John Brillhart : mathematician, short story writer, essayist
John Brinkley (astronomer) : diarist, novelist, autobiographer
John Bromfield : songwriter, short story writer, television personality
John Brooke (translator) : essayist, short story writer, biographer
John Brooke-Little : autobiographer, diarist, biographer
John Brotherton : fictional scientist, musical theatre actor, producer
John Brown Gordon : union army general, army officer, army general
John Bruce (antiquary) : antiquarian, autobiographer, diarist
John Bryan Taylor : nuclear physicist, physicist, fictional scientist
John Bryan Ward-Perkins : archaeologist, autobiographer, anthropologist
John Bryson (author) : autobiographer, memoirist, biographer
John Bunny : autobiographer, fictional scientist, novelist
John Burr Williams : social sciences writer, economics writer, economist
John Burton Cleland : ornithologist, explorer, biologist
John Burton-Page : orientalist, indologist, anthropologist
John Buxton (ornithologist) : biographer, novelist, short story writer
John C. Anderton : ornithologist, illustrator, executive office
John C. Bailar, Jr. : physical chemist, chemist, physiologist
John C. Cochrane : architect, ecclesiastical architect, landscape architect
John C. Coughenour : autobiographer, activist, serial killer
John C. Ewers : folklorist, short story writer, autobiographer
John C. J. Taylor : producer, record producer, songwriter
John C. Ostlund : autobiographer, philanthropist, memoirist
John C. Reilly : actres, musical theatre actor, producer
John C. Sanford : geneticist, pseudoscientist, neuroscientist
John C. Slater : physicist, physical chemist, systems scientist
John C. Swallow : fictional scientist, autobiographer, fictional pseudoscientist
John C. Wells : cognitive scientist, autobiographer, philologist
John C. Whitcomb : pseudoscientist, autobiographer, founder
John C. Wright (politician) : union army general, union army officer, lawyer
John C. Yuille : psychologist, autobiographer, cognitive scientist
John Calder Brennan : admiral, autobiographer, president
John Call Cook : inventor, fictional scientist, autobiographer
John Callahan (actor) : musical theatre actress, actres, autobiographer
John Callahan (cartoonist) : autobiographer, short story writer, novelist
John Calvin Jeffries : president, international relations scholar, autobiographer
John Calvin Stevens : architect, autobiographer, short story writer
John Cameron Greenleaf : architect, landscape architect, novelist
John Campbell (Royal Navy officer) : royal navy admiral, admiral, explorer
John Campbell Smith : biographer, autobiographer, novelist
John Candy : producer, fictional scientist, actres
John Cannon (historian) : biographer, autobiographer, antiquarian
John Carlisle (actor) : musical theatre actor, playwright, radio actor
John Carlson (biologist) : neuroscientist, physiologist, science writer
John Carr (writer) : autobiographer, antiquarian, biographer
John Carradine : short story writer, novelist, fictional scientist
John Carrier Weaver : president, social sciences writer, systems scientist
John Carroll (actor) : short story writer, actres, radio actor
John Carruthers (engineer) : lexicographer, statistician, landscape architect
John Cart Burgess : essayist, autobiographer, biographer
John Casimir Zichy Woinarski : ornithologist, conductor, archaeologist
John Cassin : ornithologist, explorer, zoologist
John Cassisi : essayist, radio actor, musical theatre actor
John Castellanos : autobiographer, novelist, short story writer
John Cawas : producer, actres, film director
John Cawte Beaglehole : autobiographer, biographer, memoirist
John Cazabon : radio actor, playwright, novelist
John Cazale : producer, playwright, actres
John Cecil Masterman : autobiographer, memoirist, biographer
John Cena : professional wrestler, television personality, actres
John Cervenka : actres, producer, songwriter
John Chadwick : autobiographer, anthropologist, biographer
John Chaloner Smith : biographer, antiquarian, autobiographer
John Chambers (statistician) : statistician, artificial intelligence researcher, cyberneticist
John Charles Burkill : theologian, autobiographer, pseudoscientist
John Charles Melliss : explorer, autobiographer, pseudoscientist
John Charles Van Dyke : autobiographer, pseudoscientist, biographer
John Charles Walker : geneticist, national academy, biochemist
John Charles Williams : horticulturists and gardener, landscape or garden designer, philanthropist
John Cheever : short story writer, novelist, essayist
John Christian Bailar : social sciences writer, medical researcher, science writer
John Christian Vaughan : explorer, autobiographer, short story writer
John Christopher Fine : short story writer, novelist, autobiographer
John Christopher Willis : ecologist, evolutionary biologist, biologist
John Ciardi : essayist, short story writer, poet
John Clacy : ecclesiastical architect, landscape or garden designer, landscape architect
John Clarence Webster : autobiographer, memoirist, pseudoscientist
John Clark (actor) : playwright, autobiographer, novelist
John Clarke (actor) : actres, musical theatre actor, musical theatre actress
John Clarkson Jay : pseudoscientist, physician, editor
John Claudius Loudon : horticulturists and gardener, landscape architect, landscape or garden designer
John Cleese : autobiographer, fictional scientist, biographer
John Clive : fictional scientist, autobiographer, novelist
John Coates (Australian politician) : prime minister, president, autobiographer
John Cockburn (Scottish politician) : earl, royal navy admiral, army officer
John Cocke : computer scientist, inventor, cognitive scientist
John Coleman Moore : mathematician, national academy, systems scientist
John Collier (anthropologist) : essayist, autobiographer, short story writer
John Collingwood Bruce : autobiographer, biographer, antiquarian
John Collum : songwriter, producer, musical theatre actress
John Colson : theologian, pseudoscientist, president
John Colville (politician) : diarist, memoirist, autobiographer
John Conover Smock : geophysicist, professor, cartographer
John Conroy (chemist) : army officer, biographer, autobiographer
John Considine (actor) : radio actor, video game actor, musical theatre actor
John Conte (actor) : short story writer, producer, autobiographer
John Corcoran (logician) : logician, philosopher, cognitive scientist
John Cork : fictional scientist, producer, autobiographer
John Cornell : autobiographer, biographer, producer
John Corrie : prime minister, autobiographer, biographer
John Corrill : leader, autobiographer, founder
John Cortes : president, explorer, geographer
John Cosgrove (actor) : playwright, radio actor, short story writer
John Cossar : short story writer, radio actress, actres
John Cotton (ornithologist) : short story writer, novelist, biographer
John Couch Adams : pseudoscientist, autobiographer, astronomer
John Crawford (actor) : fictional scientist, novelist, producer
John Cromwell (director) : actres, playwright, novelist
John Crown : autobiographer, memoirist, activist
John Cudia : musical theatre actor, musical theatre actress, actres
John Cullum : musical theatre actor, musical theatre actress, producer
John Curtice : autobiographer, political scientist, biographer
John Cutting (psychiatrist) : psychologist, cognitive scientist, autobiographer
John Cygan : video game actor, voice actor, fictional scientist
John Cyril Smith : autobiographer, biographer, memoirist
John D'Aquino : short story writer, musical theatre actor, comedian
John D'Auban : musical theatre actor, musical theatre actress, playwright
John D'Emilio : essayist, novelist, short story writer
John D. Axtell : geneticist, systems scientist, ecologist
John D. Collins : radio actor, musical theatre actor, playwright
John D. Ferry : chemist, fluid dynamicist, biochemist
John D. Hamaker : ecologist, autobiographer, fictional scientist
John D. Hargreaves : author, economic historian, autobiographer
John D. Hogan : psychologist, cognitive scientist, social sciences writer
John D. Lawson (scientist) : physicist, nuclear physicist, systems scientist
John D. Roberts : chemist, physical chemist, national academy
John D. Smith : indologist, orientalist, scholar
John D. States : autobiographer, founder, president
John D. Teasdale : critic, children's writer, entertainer
John D. Turner : pseudoscientist, scholar, philosopher
John D. Wiley : president, essayist, short story writer
John D. Winters : short story writer, autobiographer, novelist
John Dainton : cartographer, geographer, entrepreneur
John Dair : comedian, fictional scientist, musical theatre actor
John Dalberg-Acton, 1st Baron Acton : autobiographer, biographer, theologian
John Dall : fictional scientist, autobiographer, novelist
John Dalvi : army officer, autobiographer, biographer
John Daniel Clardy : army officer, entrepreneur, union army general
John Daniel Hayes : navy admiral, admiral, navy officer
John Daniel Runkle : editor, social sciences writer, novelist
John Darlington Newcomer : ecclesiastical architect, architect, executive office
John David Digues La Touche : autobiographer, explorer, horticulturists and gardener
John David Jackson (physicist) : physicist, nuclear physicist, theoretical physicist
John David Jenkins : autobiographer, diarist, biographer
John David Spence : neuroscientist, medical researcher, physiologist
John David Whalen : short story writer, novelist, autobiographer
John David Wilson : musical theatre actor, producer, musical theatre actress
John Davidson (actor) : fictional scientist, actres, novelist
John Davidson (botanist) : ecologist, horticulturists and gardener, short story writer
John Davis Chandler : video game actor, voice actor, fictional scientist
John Davis Lodge : autobiographer, novelist, memoirist
John Dease : autobiographer, novelist, short story writer
John Decker (pornographic actor) : pornographic film actor, film actor, actress
John Dee : pseudoscientist, autobiographer, biographer
John Dehner : radio actor, actres, short story writer
John Delaney (meteorologist) : autobiographer, aviator, explorer
John Dent (died 1826) : prime minister, autobiographer, diarist
John Derek : radio actor, producer, autobiographer
John Derek Smith : biochemist, molecular biologist, chemist
John Dew : test, autobiographer, county cricketer
John Diehl : video game actor, producer, short story writer
John Dierkes : short story writer, fictional scientist, essayist
John Dobbie : comedian, radio actor, musical theatre actor
John Dollard : psychologist, short story writer, cultural anthropologist
John Doman : video game actor, fictional scientist, actres
John Donnell Smith : short story writer, president, army officer
John Doucette : musical theatre actor, actres, short story writer
John Douglas (architect) : landscape or garden designer, landscape architect, autobiographer
John Douglas Thompson : musical theatre actor, playwright, theatre director
John Dragon Young : leader, autobiographer, sociologist
John Dramani Mahama : prime minister, president, lawyer
John Dransfield : botanists active, horticulturists and gardener, botanist
John Drew (astronomer) : astronomer, geographer, pseudoscientist
John Dryzek : political scientist, sociologist, social sciences writer
John Duer Irving : geologist, earth scientist, intellectual historian
John Duffy (economist) : social sciences writer, international relations scholar, cognitive scientist
John Duncumb : antiquarian, autobiographer, memoirist
John Duport : hebraist, clergyman, theologian
John Dye : fictional scientist, actres, autobiographer
John Dyneley Prince : autobiographer, biographer, memoirist
John E. Bercaw : chemist, physical chemist, chemical engineer
John E. Brooks : president, autobiographer, leader
John E. Dennis : systems scientist, artificial intelligence researcher, science writer
John E. Dunn : short story writer, producer, television
John E. Ivey, Jr. : executive office, social sciences writer, cognitive scientist
John E. Osborn (mathematician) : national academy, physicist, systems scientist
John E. Sunder : novelist, short story writer, author
John E. Teeple : mesoamericanist, anthropologist, archaeologist
John E. Toews : intellectual historian, philosopher, sociologist
John E. Tourtellotte : executive office, architect, playwright
John E. Woods : novelist, playwright, autobiographer
John Eatton Le Conte : naturalist, explorer, autobiographer
John Edd Thompson : autobiographer, short story writer, essayist
John Edensor Littlewood : mathematician, short story writer, essayist
John Edgar Courtney : ornithologist, explorer, zoologist
John Edgar Park : fictional scientist, short story writer, fictional pseudoscientist
John Edwards (painter) : artist, landscape or garden designer, landscape architect
John Edwin Luecke : mathematician, systems scientist, pseudoscientist
John Ehrlichman : executive office, lawyer, autobiographer
John Eisenhower : army officer, autobiographer, marine
John Eisenmann : architect, executive office, landscape or garden designer
John Ekman : silent film actor, short story writer, fictional scientist
John Eland (chemist) : marine biologist, naturalist, soldier
John Eldredge (actor) : short story writer, actres, novelist
John Elgin Woolf : producer, novelist, autobiographer
John Ellerton Stocks : orientalist, geographer, founder
John Ellis (physicist) : physicist, theoretical physicist, nuclear physicist
John Ellor Taylor : autobiographer, biographer, memoirist
John Enderby : nuclear physicist, physicist, physical chemist
John English (Canadian politician) : autobiographer, memoirist, biographer
John Ernest Holloway : autobiographer, explorer, prime minister
John Ernest Weaver : ecologist, horticulturists and gardener, short story writer
John Esten Cooke : autobiographer, union army general, short story writer
John Etchemendy : logician, cognitive scientist, philosopher
John Evans (archaeologist) : antiquarian, philanthropist, autobiographer
John Evelyn : autobiographer, biographer, memoirist
John Evelyn the Younger : autobiographer, biographer, antiquarian
John F. Atkins : geneticist, molecular biologist, biochemist
John F. Eisenberg : short story writer, ecologist, national academy
John F. MacGregor : statistician, systems scientist, cognitive scientist
John F. O'Donohue : video game actor, actres, producer
John F. Rague : ecclesiastical architect, landscape architect, architect
John F. Sowa : cyberneticist, artificial intelligence researcher, systems scientist
John F. Staub : philanthropist, horticulturists and gardener, short story writer
John F. Sweets : memoirist, autobiographer, sociologist
John F. Wippel : theologian, philosopher, scholar
John Fanning Watson : autobiographer, short story writer, biographer
John Farnsworth Wright : economic historian, philanthropist, social sciences writer
John Farrar (scientist) : short story writer, autobiographer, biographer
John Faulkner (actor) : autobiographer, short story writer, novelist
John Fawcett (actor) : short story writer, stage actor, novelist
John Felstiner : essayist, autobiographer, short story writer
John Fewster : medical doctor, doctor, physician
John Fink : actres, film, video game actor
John Finn : fictional scientist, producer, actres
John Finnis : philosopher, autobiographer, legal scholar
John Fiore (actor) : autobiographer, novelist, short story writer
John Firminger Duthie : botanists active, gardener, horticulturists and gardener
John Fleming (Gatton and Saltash MP) : royal navy admiral, soldier, governor
John Fleming (priest) : president, theologian, pseudoscientist
John Fletcher Moulton, Baron Moulton : autobiographer, diarist, biographer
John Flett (geologist) : geologist, medical doctor, paleontologist
John Floyer (physician) : essayist, medical doctor, novelist
John Foran (sociologist) : social sciences writer, economics writer, sociologist
John Forbes Nash, Jr. : autobiographer, memoirist, short story writer
John Forrest Dillon : autobiographer, memoirist, biographer
John Forrester (historian) : psychoanalyst, psychologist, essayist
John Forster (biographer) : novelist, essayist, short story writer
John Forsythe : autobiographer, fictional scientist, short story writer
John Fortune : autobiographer, short story writer, novelist
John Foster (cartoonist) : animator, video game actor, film producer
John Fought : professional golfer, landscape architect, horticulturists and gardener
John Francis Bannon : playwright, essayist, business theorist
John Francis Bentley : architect, ecclesiastical architect, autobiographer
John Francis Daley : producer, fictional scientist, video game actor
John Francis Dillon (director) : short story writer, novelist, silent film actress
John Francis Leader : fictional pseudoscientist, social sciences writer, cognitive scientist
John Francis Marchment Middleton : cultural anthropologist, anthropologist, social sciences writer
John Francis Skjellerup : autobiographer, short story writer, army officer
John Fraser (actor) : novelist, fictional scientist, autobiographer
John Frederic Daniell : inventor, national academy, chemist
John Frederick France : medical doctor, autobiographer, pseudoscientist
John Frederick Lewis : artist, autobiographer, novelist
John Freeman Milward Dovaston : autobiographer, novelist, biographer
John Frere : antiquarian, archaeologist, anthropologist
John Fricker : critic, guitarist, landscape architect
John Froines : autobiographer, president, activist
John Furey : record producer, singer-songwriter, fictional scientist
John Furlong (American actor) : voice actor, video game actor, radio actor
John G. Adolfi : short story writer, novelist, fictional scientist
John G. Cramer : fictional scientist, short story writer, physicist
John G. Owens : anthropologist, archaeologist, mesoamericanist
John G. Reid : autobiographer, memoirist, diarist
John G. Taylor : pseudoscientist, fictional scientist, cognitive scientist
John G. Thompson : mathematician, cognitive scientist, social sciences writer
John G. Trump : national academy, inventor, engineer
John G. Watkins : psychologist, cognitive scientist, short story writer
John Gabriel (actor) : producer, fictional scientist, musical theatre actor
John Gabriel Stedman : novelist, autobiographer, memoirist
John Gallagher, Jr. : musical theatre actor, musical theatre actress, producer
John Gardner (American writer) : short story writer, novelist, essayist
John Gardner Wilkinson : explorer, geographer, autobiographer
John Garfield : autobiographer, short story writer, novelist
John Garrett Underhill : autobiographer, biographer, novelist
John Garrick : actres, musical theatre actor, short story writer
John Garside : chemical engineer, materials scientists and engineer, chemist
John Gatins : fictional scientist, producer, autobiographer
John Gavin : actres, short story writer, radio actor
John George Adami : pathologist, medical doctor, autobiographer
John George Nicolay : union army general, short story writer, autobiographer
John George Wood : autobiographer, biographer, short story writer
John Gielgud : playwright, novelist, short story writer
John Gilbert (actor) : short story writer, novelist, actres
John Gilchrist (linguist) : orientalist, biographer, indologist
John Gilkey : record producer, producer, singer-songwriter
John Gill Lemmon : short story writer, novelist, horticulturists and gardener
John Gillies (botanist) : biologist, naturalist, zoologist
John Gilmore (writer) : short story writer, novelist, autobiographer
John Glen (director) : fictional scientist, producer, short story writer
John Glen Wardrop : fictional scientist, autobiographer, emperor
John Glover (actor) : fictional scientist, musical theatre actor, actres
John Godfrey : autobiographer, prime minister, memoirist
John Gooders : autobiographer, short story writer, memoirist
John Goodman : producer, actres, musical theatre actor
John Goodricke : pseudoscientist, founder, astrologer
John Goodsir : anatomist, medical doctor, physician
John Gordon Sinclair : radio actor, actres, songwriter
John Gordon Skellam : systems scientist, ecologist, evolutionary biologist
John Gostlin : antiquarian, medical doctor, diarist
John Gould : autobiographer, novelist, short story writer
John Gould Anthony : marine biologist, paleontologist, explorer
John Gould Veitch : horticulturists and gardener, gardener, botanist
John Graham Davies : musical theatre actor, radio actor, autobiographer
John Graham Kerr : autobiographer, novelist, biographer
John Grainger : antiquarian, zoologist, biographer
John Greaves : orientalist, geographer, theologian
John Green (botanist) : botanists active, explorer, paleontologist
John Greenlees Semple : theologian, mathematician, novelist
John Greenway (folklorist) : short story writer, folklorist, autobiographer
John Gregory (scholar) : theologian, hebraist, antiquarian
John Gregory Bourke : short story writer, novelist, autobiographer
John Griffin (rugby union) : autobiographer, memoirist, prime minister
John Griffith (engineer) : engineer, civil engineer, autobiographer
John Griffith Wray : short story writer, producer, executive office
John Grogan (journalist) : autobiographer, memoirist, diarist
John Guille Millais : autobiographer, novelist, horticulturists and gardener
John Gunn (writer) : essayist, folklorist, critic
John Gwyn Jeffreys : marine biologist, novelist, earth scientist
John H. Bryden : autobiographer, memoirist, biographer
John H. Coates : autobiographer, mathematician, statistician
John H. Edelmann : autobiographer, political activist, memoirist
John H. Flood, Jr. : novelist, fictional scientist, author
John H. Fremlin : autobiographer, biographer, novelist
John H. Martin : actres, soap opera actor, musical theatre actor
John H. Sinfelt : chemical engineer, inventor, biochemist
John H. Smith (mathematician) : systems scientist, cognitive scientist, mathematician
John H. Williams : video game actor, record producer, voice actor
John Habakkuk : economic historian, biographer, autobiographer
John Hadley : inventor, cartographer, pseudoscientist
John Hall (physician) : autobiographer, memoirist, biographer
John Hancock (actor) : producer, musical theatre actor, radio actor
John Hannah (actor) : radio actor, actres, fictional scientist
John Hanson (singer) : autobiographer, biographer, producer
John Hare (actor) : playwright, autobiographer, memoirist
John Hargreaves (actor) : fictional scientist, musical theatre actor, autobiographer
John Harkins (actor) : actres, musical theatre actor, video game actor
John Harmon (actor) : autobiographer, memoirist, director
John Harris (bioethicist) : philosopher, social sciences writer, intellectual historian
John Harron : film, actres, short story writer
John Hartnup Jr. : explorer, autobiographer, pseudoscientist
John Harvey (American actor) : actres, autobiographer, playwright
John Harvey (actor) : musical theatre actor, radio actor, actres
John Hasbrouck Van Vleck : physicist, physical chemist, national academy
John Haslem (artist) : artist, landscape architect, autobiographer
John Hasted : fictional scientist, autobiographer, pseudoscientist
John Hawkes (actor) : actres, musical theatre actor, producer
John Hawks (architect) : executive office, architect, landscape architect
John Hay : autobiographer, short story writer, novelist
John Hayward (historian) : biographer, autobiographer, memoirist
John Heard (actor) : fictional scientist, actres, producer
John Hearle Tremayne : royal navy admiral, horticulturists and gardener, gardener
John Heminges : publisher, memoirist, stage actor
John Henderson (actor) : fictional scientist, comedian, essayist
John Heneage Jesse : autobiographer, diarist, memoirist
John Henry Brown : short story writer, autobiographer, novelist
John Henry Gurney Jr. : ornithologist, explorer, science writer
John Henry Gurney Sr. : ornithologist, autobiographer, biographer
John Henry Ingram : short story writer, essayist, novelist
John Henry Parker : antiquarian, autobiographer, biographer
John Henry Pepper : autobiographer, fictional scientist, short story writer
John Henry Poynting : pseudoscientist, inventor, physicist
John Henry Schwarz : cognitive scientist, novelist, social sciences writer
John Henry Taylor : professional golfer, landscape architect, horticulturists and gardener
John Henry Vaughan : autobiographer, governor, explorer
John Henry Wigmore : founder, legal scholar, autobiographer
John Henry Wood : entomologist, lepidopterist, zoologist
John Herbert (actor) : musical theatre actor, soap opera actress, soap opera actor
John Hershberger : computer scientist, systems scientist, mathematician
John Hewer : comedian, autobiographer, playwright
John Hewitt (herpetologist) : zoologist, naturalist, biologist
John Hewson : prime minister, autobiographer, memoirist
John Hicks : economist, econometrician, social sciences writer
John Higgins of Montoge : autobiographer, biographer, memoirist
John Hillerman : actres, fictional scientist, radio actor
John Hilton Grace : mathematician, statistician, inventor
John Hinrichs : inventor, systems scientist, short story writer
John Hirst (historian) : autobiographer, biographer, social sciences writer
John Hobbs (missionary) : pseudoscientist, biographer, antiquarian
John Hobbs (ornithologist) : ornithologist, explorer, zoologist
John Hockenberry : essayist, autobiographer, short story writer
John Hodiak : short story writer, producer, autobiographer
John Holford : royal navy admiral, medical doctor, admiral
John Holmes (pornographic actor) : autobiographer, short story writer, fictional scientist
John Holwell : pseudoscientist, autobiographer, biographer
John Home : biographer, autobiographer, essayist
John Hooker (English constitutionalist) : autobiographer, memoirist, biographer
John Hopcroft : computer scientist, cyberneticist, cognitive scientist
John Hope (botanist) : medical doctor, physician, antiquarian
John Horne : geographer, geologist, autobiographer
John Horne Tooke : autobiographer, novelist, memoirist
John Horton (actor) : actres, autobiographer, musical theatre actor
John Horton Conway : mathematician, systems scientist, cognitive scientist
John Howard (American actor) : short story writer, novelist, autobiographer
John Howard Davies : producer, radio actor, autobiographer
John Howard Van Amringe : professor, intellectual historian, national academy
John Howell (politician) : autobiographer, prime minister, biographer
John Howie (biographer) : biographer, theologian, antiquarian
John Howship : medical doctor, surgeon, physician
John Hoyt : actres, fictional scientist, radio actor
John Hubbard (actor) : radio actor, actres, producer
John Hubbard Sturgis : architect, landscape architect, horticulturists and gardener
John Huchra : national academy, pseudoscientist, short story writer
John Hugh McNary : judge, attorney, union army general
John Hughlings Jackson : neuroscientist, physiologist, autobiographer
John Hunt (theologian) : theologian, biographer, pseudoscientist
John Huntbach : genealogist, autobiographer, earl
John Hunter (surgeon) : autobiographer, biographer, fictional scientist
John Hurt : autobiographer, fictional scientist, novelist
John Hutchinson (botanist) : explorer, autobiographer, horticulturists and gardener
John Hutton Balfour : botanist, botanists active, pseudoscientist
John Iliffe (historian) : cultural anthropologist, social sciences writer, autobiographer
John Iliopoulos : theoretical physicist, physicist, nuclear physicist
John Imbrie : geophysicist, inventor, planetary scientist
John Imray : botanists active, naturalist, mycologist
John Ince (actor) : short story writer, actres, film producer
John Ingle : autobiographer, producer, novelist
John Inman : comedian, autobiographer, fictional scientist
John Ioannou : singer-songwriter, songwriter, record producer
John Ireland (actor) : actres, producer, autobiographer
John Irwin Hutchinson : mathematician, science writer, systems scientist
John Ives : antiquarian, autobiographer, biographer
John J. Pershing : army officer, army general, autobiographer
John J. York : film, short story writer, television
John Jackson (UK politician) : novelist, biographer, playwright
John Jackson (astronomer) : pseudoscientist, autobiographer, astronomer
John Jacob Abel : physiologist, medical researcher, chemist
John Jacobs (English golfer) : landscape architect, professional golfer, autobiographer
John James (actor) : actres, fictional scientist, producer
John James Abert : union army general, army officer, cartographer
John James Audubon : novelist, executive office, fictional scientist
John James Rickard Macleod : physiologist, medical researcher, autobiographer
John James Waterston : autobiographer, physicist, pseudoscientist
John Jamieson : biographer, autobiographer, novelist
John Jantsch : fictional scientist, autobiographer, entrepreneur
John Jarratt : short story writer, producer, actres
John Jay Adams : novelist, autobiographer, essayist
John Jay Gergen : evolutionary biologist, psychologist, essayist
John Jeffrey (botanist) : botanists active, horticulturists and gardener, botanist
John Jenner Weir : fictional scientist, biologist, autobiographer
John Jennings (physician) : autobiographer, playwright, orientalist
John Jewkes (economist) : economics writer, social sciences writer, economist
John Jonas : national academy, nuclear physicist, ecologist
John Jones (doctor) : autobiographer, short story writer, memoirist
John Joscelyn : hebraist, archbishop, short story writer
John Joseph Connolly : autobiographer, diarist, memoirist
John Joseph Gibbons : attorney, lawyer, legal scholar
John Joseph Griffin : inventor, chemist, autobiographer
John Joseph Saunders : pseudoscientist, autobiographer, novelist
John Josselyn : pseudoscientist, autobiographer, short story writer
John Judis : short story writer, autobiographer, social sciences writer
John Junkin : radio actor, actres, comedian
John Junor : biographer, autobiographer, memoirist
John K. Inglis : pseudoscientist, cognitive scientist, autobiographer
John K. McNulty : social sciences writer, legal scholar, essayist
John Keefe (actor) : fictional scientist, producer, dramatist
John Keegan : autobiographer, biographer, military historian
John Keith Irwin : sociologist, autobiographer, biographer
John Kells Ingram : biographer, novelist, essayist
John Kendrew : biochemist, molecular biologist, physiologist
John Kennedy McCray : short story writer, autobiographer, executive office
John Kenneth Galbraith : social sciences writer, economics writer, memoirist
John Kenneth Stille : novelist, autobiographer, essayist
John Kenneth Terres : autobiographer, novelist, memoirist
John Kennett Starnes : autobiographer, memoirist, novelist
John Kerr (physicist) : physicist, pseudoscientist, nuclear physicist
John Keston : autobiographer, short story writer, musical theatre actor
John Kidd (chemist) : antiquarian, medical doctor, geologist
John Kimbrough : professional football player, all-american college football player, college football coach
John Kingman : statistician, president, short story writer
John Kirk (explorer) : explorer, geographer, physician
John Kirk Townsend : novelist, autobiographer, executive office
John Kirtland Wright : geographer, pseudoscientist, short story writer
John Kitsuse : sociologist, psychologist, cultural anthropologist
John Kneubuhl : autobiographer, memoirist, biographer
John Korty : short story writer, filmmaker, producer
John Kraaijkamp, Sr. : playwright, comedian, producer
John Krasinski : actres, producer, playwright
John Krebs, Baron Krebs : neuroscientist, social sciences writer, evolutionary biologist
John Kristen Skogan : political scientist, sociologist, international relations scholar
John Kruk : professional baseball player, professional football player, all-american college football player
John Kunkel Small : autobiographer, memoirist, paleontologist
John L. Adams : actres, fictional scientist, autobiographer
John L. Cotter : executive office, novelist, autobiographer
John L. Hall : physicist, national academy, physical chemist
John L. Jinks : geneticist, evolutionary biologist, medical researcher
John L. Spivak : autobiographer, memoirist, biographer
John L. Wainwright : autobiographer, essayist, novelist
John L. Wallace : physiologist, medical researcher, neuroscientist
John Landen : biographer, autobiographer, geographer
John Landseer : autobiographer, biographer, pseudoscientist
John Langdon Down : autobiographer, memoirist, biographer
John Langston Gwaltney : short story writer, essayist, novelist
John Larch : actres, fictional scientist, radio actor
John Larroquette : producer, fictional scientist, video game actor
John Latham (ornithologist) : ornithologist, zoologist, geographer
John Laudun : short story writer, folklorist, novelist
John Laughlin (actor) : actres, short story writer, record producer
John Laurie : autobiographer, fictional scientist, short story writer
John Lavelle (actor) : musical theatre actor, actres, video game actor
John Law (bishop) : diarist, autobiographer, biographer
John Lawrence Toole : playwright, autobiographer, memoirist
John Layfield (theologian) : hebraist, translator, philologist
John Le Mesurier : autobiographer, short story writer, radio actor
John Lee (actor) : fictional scientist, video game actor, producer
John Leeson : fictional scientist, short story writer, autobiographer
John Legend : songwriter, record producer, singer-songwriter
John Leguizamo : producer, actres, fictional scientist
John Lennox : pseudoscientist, autobiographer, biographer
John Lesley : theologian, biographer, pseudoscientist
John Leslie (pornographic actor) : producer, pornographic film actor, fictional scientist
John Lester Wallack : playwright, autobiographer, biographer
John Lettice : antiquarian, diarist, biographer
John Lewis Childs : executive office, horticulturists and gardener, autobiographer
John Lewis Russell : botanist, mycologist, biologist
John Liddell (doctor) : royal navy admiral, autobiographer, admiral
John Lighton Synge : physicist, mathematician, inventor
John Lindley : horticulturists and gardener, botanist, gardener
John Lingard : autobiographer, playwright, biographer
John Litel : short story writer, fictional scientist, novelist
